title,genres,actor1,actor2,actor3,director,comb
teleios,Sci-Fi,Sunny Mabrey,Lance Broadway,T.J. Hoban,Ian Truitner,Sunny Mabrey Lance Broadway T.J. Hoban Ian Truitner Sci-Fi
sandy wexler,Comedy,Adam Sandler,Kevin James,Terry Crews,Steven Brill,Adam Sandler Kevin James Terry Crews Steven Brill Comedy
extortion,Action,Bethany Joy Lenz,Danny Glover,Tim Griffin,Phil Volken,Bethany Joy Lenz Danny Glover Tim Griffin Phil Volken Action
betting on zero,Documentary,,,,Ted Braun,   Ted Braun Documentary
the transfiguration,Horror,Eric Ruffin,Chloe Levine,Aaron Moten,Michael O'Shea,Eric Ruffin Chloe Levine Aaron Moten Michael O'Shea Horror
another evil,Comedy,Steve Zissis,Mark Proksch,Jennifer Irwin,Carson D. Mell,Steve Zissis Mark Proksch Jennifer Irwin Carson D. Mell Comedy
win it all,Comedy,Jake Johnson,Aislinn Derbez,Joe Lo Truglio,Joe Swanberg,Jake Johnson Aislinn Derbez Joe Lo Truglio Joe Swanberg Comedy
captain underpants: the first epic movie,Action,Kevin Hart,Ed Helms,Thomas Middleditch,David Soren,Kevin Hart Ed Helms Thomas Middleditch David Soren Action
band aid,Comedy,Zoe Lister-Jones,Adam Pally,Fred Armisen,Zoe Lister-Jones,Zoe Lister-Jones Adam Pally Fred Armisen Zoe Lister-Jones Comedy
it comes at night,Horror,Joel Edgerton,Christopher Abbott,Carmen Ejogo,Trey Edward Shults,Joel Edgerton Christopher Abbott Carmen Ejogo Trey Edward Shults Horror
megan leavey,Drama,Kate Mara,Ramón Rodríguez,Tom Felton,Gabriela Cowperthwaite,Kate Mara Ramón Rodríguez Tom Felton Gabriela Cowperthwaite Drama
my cousin rachel,Drama,Rachel Weisz,Sam Claflin,Holliday Grainger,Roger Michell,Rachel Weisz Sam Claflin Holliday Grainger Roger Michell Drama
i love you both,Comedy,Artemis Pebdani,Sasha Mitchell,Angela Trimbur,Doug Archibald,Artemis Pebdani Sasha Mitchell Angela Trimbur Doug Archibald Comedy
11:55,Drama,Victor Almanzar,Shirley Rumierk,Elizabeth Rodriguez,Ari Issler Ben Snyder,Victor Almanzar Shirley Rumierk Elizabeth Rodriguez Ari Issler Ben Snyder Drama
cars 3,Family,Owen Wilson,Cristela Alonzo,Chris Cooper,Brian Fee,Owen Wilson Cristela Alonzo Chris Cooper Brian Fee Family
maudie,Drama,Sally Hawkins,Ethan Hawke,Gabrielle Rose,Aisling Walsh,Sally Hawkins Ethan Hawke Gabrielle Rose Aisling Walsh Drama
mad families,Comedy,Leah Remini,Charlotte McKinney,Charlie Sheen,Fred Wolf,Leah Remini Charlotte McKinney Charlie Sheen Fred Wolf Comedy
the marine 5: battleground,Action,Mike Mizanin,Anna Van Hooft,Maryse Ouellet Mizanin,James Nunn,Mike Mizanin Anna Van Hooft Maryse Ouellet Mizanin James Nunn Action
the covenant,Horror,Monica Engesser,Clint James,Maria Olsen,Robert Conway,Monica Engesser Clint James Maria Olsen Robert Conway Horror
rufus 2,Family,Jace Norman,Davis Cleveland,Haley Tju,Savage Steve Holland,Jace Norman Davis Cleveland Haley Tju Savage Steve Holland Family
the book of henry,Thriller,Naomi Watts,Jaeden Lieberher,Jacob Tremblay,Colin Trevorrow,Naomi Watts Jaeden Lieberher Jacob Tremblay Colin Trevorrow Thriller
the hero,Drama,Sam Elliott,Laura Prepon,Nick Offerman,Brett Haley,Sam Elliott Laura Prepon Nick Offerman Brett Haley Drama
citizen jane: battle for the city,Documentary,Thomas Campanella,Mindy Fullilove,Alexander Garvin,Matt Tyrnauer,Thomas Campanella Mindy Fullilove Alexander Garvin Matt Tyrnauer Documentary
the wall,Drama,Aaron Taylor-Johnson,John Cena,Laith Nakli,Doug Liman,Aaron Taylor-Johnson John Cena Laith Nakli Doug Liman Drama
diamond cartel,Action,Armand Assante,Karlygash Mukhamedzhanova,Alexey Frandetti,Salamat Mukhammed-Ali,Armand Assante Karlygash Mukhamedzhanova Alexey Frandetti Salamat Mukhammed-Ali Action
phoenix forgotten,Horror,Florence Hartigan,Jeanine Jackson,Chelsea Lopez,Justin Barber,Florence Hartigan Jeanine Jackson Chelsea Lopez Justin Barber Horror
the immortal life of henrietta lacks,Drama,Rose Byrne,Renée Elise Goldsberry,Oprah Winfrey,George C. Wolfe,Rose Byrne Renée Elise Goldsberry Oprah Winfrey George C. Wolfe Drama
tommy's honour,Drama,Peter Mullan,Jack Lowden,Ophelia Lovibond,Jason Connery,Peter Mullan Jack Lowden Ophelia Lovibond Jason Connery Drama
handsome devil,Drama,Nicholas Galitzine,Fionn O'Shea,Moe Dunford,John Butler,Nicholas Galitzine Fionn O'Shea Moe Dunford John Butler Drama
lowriders,Drama,Demián Bichir,Gabriel Chavarria,Theo Rossi,Ricardo de Montreuil,Demián Bichir Gabriel Chavarria Theo Rossi Ricardo de Montreuil Drama
the dark tapes,Horror,Cortney Palm,David Hull,Emilia Zoryan,Vincent J. Guastini Michael McQuown,Cortney Palm David Hull Emilia Zoryan Vincent J. Guastini Michael McQuown Horror
beyond skyline,Action,Frank Grillo,Bojana Novaković,Iko Uwais,Liam O'Donnell,Frank Grillo Bojana Novaković Iko Uwais Liam O'Donnell Action
punching henry,Comedy,Henry Phillips,J.K. Simmons,Sarah Silverman,Gregori Viens,Henry Phillips J.K. Simmons Sarah Silverman Gregori Viens Comedy
how to be a latin lover,Comedy,Eugenio Derbez,Salma Hayek,Rob Lowe,Ken Marino,Eugenio Derbez Salma Hayek Rob Lowe Ken Marino Comedy
the trip to spain,Drama,Steve Coogan,Rob Brydon,Claire Keelan,Michael Winterbottom,Steve Coogan Rob Brydon Claire Keelan Michael Winterbottom Drama
nobody speak: trials of the free press,Documentary,,,,Brian Knappenberger,   Brian Knappenberger Documentary
brigsby bear,Comedy,Kyle Mooney,Claire Danes,Mark Hamill,Dave McCary,Kyle Mooney Claire Danes Mark Hamill Dave McCary Comedy
lucas brothers: on drugs,Comedy,,,,Jay Chapman,   Jay Chapman Comedy
i am heath ledger,Documentary,Heath Ledger,Kate Ledger,Kim Ledger,Derik Murray Adrian Buitenhuis,Heath Ledger Kate Ledger Kim Ledger Derik Murray Adrian Buitenhuis Documentary
sand castle,Drama,Nicholas Hoult,Logan Marshall-Green,Henry Cavill,Fernando Coimbra,Nicholas Hoult Logan Marshall-Green Henry Cavill Fernando Coimbra Drama
moontrap: target earth,Action,Sarah Butler,Damon Dayoub,Charles Shaughnessy,Robert Dyke,Sarah Butler Damon Dayoub Charles Shaughnessy Robert Dyke Action
uncertain,Documentary,,,,Anna Sandilands Ewan McNicol,   Anna Sandilands Ewan McNicol Documentary
unlocked,Action,Noomi Rapace,Orlando Bloom,Michael Douglas,Michael Apted,Noomi Rapace Orlando Bloom Michael Douglas Michael Apted Action
voice from the stone,Drama,Emilia Clarke,Marton Csokas,Caterina Murino,Eric D. Howell,Emilia Clarke Marton Csokas Caterina Murino Eric D. Howell Drama
small crimes,Drama,Nikolaj Coster-Waldau,Jacki Weaver,Robert Forster,E.L. Katz,Nikolaj Coster-Waldau Jacki Weaver Robert Forster E.L. Katz Drama
a few less men,Comedy,Dacre Montgomery,Xavier Samuel,Kris Marshall,Mark Lamprell,Dacre Montgomery Xavier Samuel Kris Marshall Mark Lamprell Comedy
bottom of the world,Drama,Jena Malone,Douglas Smith,Ted Levine,Richard Sears,Jena Malone Douglas Smith Ted Levine Richard Sears Drama
stratton,Action,Dominic Cooper,Gemma Chan,Connie Nielsen,Simon West,Dominic Cooper Gemma Chan Connie Nielsen Simon West Action
the lovers,Comedy,Debra Winger,Tracy Letts,Aidan Gillen,Azazel Jacobs,Debra Winger Tracy Letts Aidan Gillen Azazel Jacobs Comedy
tomato red,Drama,Julia Garner,Jake Weary,Anna Friel,Juanita Wilson,Julia Garner Jake Weary Anna Friel Juanita Wilson Drama
taking earth,Sci-Fi,Ronan Quarmby,Brad Richards,Barbara Harrison,Grant Humphreys,Ronan Quarmby Brad Richards Barbara Harrison Grant Humphreys Sci-Fi
maria bamford: old baby,Comedy,,,,Jessica Yu,   Jessica Yu Comedy
norman: the moderate rise and tragic fall of a new york fixer,Comedy,Richard Gere,Lior Ashkenazi,Michael Sheen,Joseph Cedar,Richard Gere Lior Ashkenazi Michael Sheen Joseph Cedar Comedy
seizure,Horror,Jimmy Allen,Lindsay Bennett,Chris Blackwood,Jamie Cymbal Ryan Simons,Jimmy Allen Lindsay Bennett Chris Blackwood Jamie Cymbal Ryan Simons Horror
amityville: the awakening,Thriller,Bella Thorne,Cameron Monaghan,Jennifer Morrison,Franck Khalfoun,Bella Thorne Cameron Monaghan Jennifer Morrison Franck Khalfoun Thriller
the beguiled,Drama,Colin Farrell,Nicole Kidman,Kirsten Dunst,Sofia Coppola,Colin Farrell Nicole Kidman Kirsten Dunst Sofia Coppola Drama
the reagan show,Documentary,Ronald Reagan,Nancy Reagan,Barbara Walters,Sierra Pettengill Pacho Velez,Ronald Reagan Nancy Reagan Barbara Walters Sierra Pettengill Pacho Velez Documentary
baby driver,Action,Ansel Elgort,Lily James,Kevin Spacey,Edgar Wright,Ansel Elgort Lily James Kevin Spacey Edgar Wright Action
okja,Adventure,Tilda Swinton,Paul Dano,Ahn Seo-hyun ,Bong Joon-ho,Tilda Swinton Paul Dano Ahn Seo-hyun  Bong Joon-ho Adventure
asylum of darkness,Horror,Tim Thomerson,Richard Hatch,Tiffany Shepis,Jay Woelfel,Tim Thomerson Richard Hatch Tiffany Shepis Jay Woelfel Horror
rough night,Drama,Scarlett Johansson,Jillian Bell,Kate McKinnon,Lucia Aniello,Scarlett Johansson Jillian Bell Kate McKinnon Lucia Aniello Drama
mindhorn,Comedy,Julian Barratt,Simon Farnaby,Essie Davis,Sean Foley,Julian Barratt Simon Farnaby Essie Davis Sean Foley Comedy
oasis,TV Movie,Richard Madden,Flora Spencer-Longhurst,Moshidi Motshegwa,Kevin Macdonald,Richard Madden Flora Spencer-Longhurst Moshidi Motshegwa Kevin Macdonald TV Movie
generation iron 2,Documentary,Calum Von Moger,Kai Greene,Rich Piana,Vlad Yudin,Calum Von Moger Kai Greene Rich Piana Vlad Yudin Documentary
the shadow effect,Sci-Fi,Jonathan Rhys Meyers,Cam Gigandet,Michael Biehn,Amariah Olson Obin Olson,Jonathan Rhys Meyers Cam Gigandet Michael Biehn Amariah Olson Obin Olson Sci-Fi
monster high: electrified,Family,Katy Townsend,Debi Derryberry,Cassandra Morris,Avgousta Zourelidi,Katy Townsend Debi Derryberry Cassandra Morris Avgousta Zourelidi Family
patti cake$,Drama,Danielle Macdonald,Bridget Everett,Siddharth Dhananjay,Geremy Jasper,Danielle Macdonald Bridget Everett Siddharth Dhananjay Geremy Jasper Drama
moonlight in vermont,Romance,Lacey Chabert,Carlo Marks,Jesse Moss,Mel Damski,Lacey Chabert Carlo Marks Jesse Moss Mel Damski Romance
handsome: a netflix mystery movie,Comedy,Jeff Garlin,Natasha Lyonne,Chris Redd,Jeff Garlin,Jeff Garlin Natasha Lyonne Chris Redd Jeff Garlin Comedy
batman & bill,Documentary,Michael Uslan,Roy Thomas,Marc Tyler Nobleman,Don Argott Sheena M. Joyce,Michael Uslan Roy Thomas Marc Tyler Nobleman Don Argott Sheena M. Joyce Documentary
the axe murders of villisca,Horror,Robert Adamson,Alex Frnka,Conchata Ferrell,Tony E. Valenzuela,Robert Adamson Alex Frnka Conchata Ferrell Tony E. Valenzuela Horror
permission,Comedy,Rebecca Hall,Jason Sudeikis,Dan Stevens,Brian Crano,Rebecca Hall Jason Sudeikis Dan Stevens Brian Crano Comedy
the hunter's prayer,Action,Sam Worthington,Odeya Rush,Amy Landecker,Jonathan Mostow,Sam Worthington Odeya Rush Amy Landecker Jonathan Mostow Action
beatriz at dinner,Comedy,Salma Hayek,John Lithgow,Connie Britton,Miguel Arteta,Salma Hayek John Lithgow Connie Britton Miguel Arteta Comedy
get me roger stone,Documentary,Roger Stone,Donald Trump,Paul Manafort,Dylan Bank Morgan Pehme Daniel DiMauro,Roger Stone Donald Trump Paul Manafort Dylan Bank Morgan Pehme Daniel DiMauro Documentary
boone: the bounty hunter,Action,John Hennigan,Spencer Grammer,Lorenzo Lamas,Robert Kirbyson,John Hennigan Spencer Grammer Lorenzo Lamas Robert Kirbyson Action
despicable me 3,Action,Steve Carell,Kristen Wiig,Trey Parker,Kyle Balda Pierre Coffin,Steve Carell Kristen Wiig Trey Parker Kyle Balda Pierre Coffin Action
the levelling,Drama,Ellie Kendrick,David Troughton,Jack Holden,Hope Dickson Leach,Ellie Kendrick David Troughton Jack Holden Hope Dickson Leach Drama
tracktown,Drama,Alexi Pappas,Chase Offerle,Rebecca Friday,Alexi Pappas Jeremy Teicher,Alexi Pappas Chase Offerle Rebecca Friday Alexi Pappas Jeremy Teicher Drama
king charles iii,Drama,Tim Pigott-Smith,Charlotte Riley,Oliver Chris,Rupert Goold,Tim Pigott-Smith Charlotte Riley Oliver Chris Rupert Goold Drama
mommy dead and dearest,Documentary,,,,Erin Lee Carr,   Erin Lee Carr Documentary
alcoholist,Drama,Bill Moseley,Gabriella Wright,John Robinson,Lucas Pavetto,Bill Moseley Gabriella Wright John Robinson Lucas Pavetto Drama
tickling giants,Documentary,,,,Sara Taksler,   Sara Taksler Documentary
dead awake,Horror,Lori Petty,Jesse Bradford,Brea Grant,Phillip Guzman,Lori Petty Jesse Bradford Brea Grant Phillip Guzman Horror
a family man,Drama,Gerard Butler,Gretchen Mol,Willem Dafoe,Mark Williams,Gerard Butler Gretchen Mol Willem Dafoe Mark Williams Drama
the wizard of lies,Crime,Robert De Niro,Michelle Pfeiffer,Hank Azaria,Barry Levinson,Robert De Niro Michelle Pfeiffer Hank Azaria Barry Levinson Crime
revengeance,Comedy,,,,Bill Plympton Jim Lujan,   Bill Plympton Jim Lujan Comedy
kill 'em all,Action,Jean-Claude Van Damme,Peter Stormare,María Conchita Alonso,Peter Malota,Jean-Claude Van Damme Peter Stormare María Conchita Alonso Peter Malota Action
kill switch,Sci-Fi,Dan Stevens,Bérénice Marlohe,Charity Wakefield,Tim Smit,Dan Stevens Bérénice Marlohe Charity Wakefield Tim Smit Sci-Fi
the bad batch,Thriller,Suki Waterhouse,Jason Momoa,Jayda Fink,Ana Lily Amirpour,Suki Waterhouse Jason Momoa Jayda Fink Ana Lily Amirpour Thriller
maigrets night at the crossroads,TV Movie,Rowan Atkinson,Lucy Cohu,Shaun Dingwall,Sarah Harding,Rowan Atkinson Lucy Cohu Shaun Dingwall Sarah Harding TV Movie
war for the planet of the apes,Drama,Andy Serkis,Woody Harrelson,Steve Zahn,Matt Reeves,Andy Serkis Woody Harrelson Steve Zahn Matt Reeves Drama
chronically metropolitan,Drama,Shiloh Fernandez,Ashley Benson,Addison Timlin,Xavier Manrique,Shiloh Fernandez Ashley Benson Addison Timlin Xavier Manrique Drama
kidnap,Drama,Halle Berry,Sage Correa,Chris McGinn,Luis Prieto,Halle Berry Sage Correa Chris McGinn Luis Prieto Drama
how to talk to girls at parties,Comedy,Elle Fanning,Nicole Kidman,Ruth Wilson,John Cameron Mitchell,Elle Fanning Nicole Kidman Ruth Wilson John Cameron Mitchell Comedy
the meyerowitz stories,Comedy,Adam Sandler,Ben Stiller,Dustin Hoffman,Noah Baumbach,Adam Sandler Ben Stiller Dustin Hoffman Noah Baumbach Comedy
war machine,Comedy,Brad Pitt,Anthony Hayes,John Magaro,David Michôd,Brad Pitt Anthony Hayes John Magaro David Michôd Comedy
becoming bond,Documentary,George Lazenby,Josh Lawson,Kassandra Clementi,Josh Greenbaum,George Lazenby Josh Lawson Kassandra Clementi Josh Greenbaum Documentary
vir das: abroad understanding,Comedy,,,,Marcus Raboy,   Marcus Raboy Comedy
"norm macdonald: hitler's dog, gossip & trickery",Comedy,,,,Liz Plonka,   Liz Plonka Comedy
red nose day actually,TV Movie,Hugh Grant,Colin Firth,Liam Neeson,Richard Curtis Mat Whitecross,Hugh Grant Colin Firth Liam Neeson Richard Curtis Mat Whitecross TV Movie
whitney: can i be me,Music,Whitney Houston,Bobbi Kristina Brown,Bobby Brown,Nick Broomfield Rudi Dolezal,Whitney Houston Bobbi Kristina Brown Bobby Brown Nick Broomfield Rudi Dolezal Music
the gracefield incident,Horror,Alex C. Nachi,Mathieu Ratthe,Victor Andres Turgeon-Trelles,Mathieu Ratthe,Alex C. Nachi Mathieu Ratthe Victor Andres Turgeon-Trelles Mathieu Ratthe Horror
long strange trip,Music,Jerry Garcia,Bob Weir,Mickey Hart,Amir Bar-Lev,Jerry Garcia Bob Weir Mickey Hart Amir Bar-Lev Music
warning: this drug may kill you,TV Movie,,,,Perri Peltz,   Perri Peltz TV Movie
the mars generation,Documentary,Bill Nye,Jeffrey Kluger,Neil deGrasse Tyson,Michael Barnett,Bill Nye Jeffrey Kluger Neil deGrasse Tyson Michael Barnett Documentary
hasan minhaj: homecoming king,Comedy,,,,Christopher Storer,   Christopher Storer Comedy
sarah silverman: a speck of dust,Comedy,,,,Liam Lynch,   Liam Lynch Comedy
breakdown lane,Drama,Whitney Moore,William 'Bill' Connor,Owen Conway,Bob Schultz Robert Conway,Whitney Moore William 'Bill' Connor Owen Conway Bob Schultz Robert Conway Drama
black butterfly,Thriller,Jonathan Rhys Meyers,Antonio Banderas,Piper Perabo,Brian Goodman,Jonathan Rhys Meyers Antonio Banderas Piper Perabo Brian Goodman Thriller
i am jane doe,Crime,,,,Mary Mazzio,   Mary Mazzio Crime
dumb: the story of big brother magazine,Documentary,Steve Rocco,Jeff Tremaine,Johnny Knoxville,Patrick O'Dell,Steve Rocco Jeff Tremaine Johnny Knoxville Patrick O'Dell Documentary
the farthest,Documentary,Frank Drake,John Casani,Lawrence Krauss,Emer Reynolds,Frank Drake John Casani Lawrence Krauss Emer Reynolds Documentary
the journey,Drama,Timothy Spall,Colm Meaney,Freddie Highmore,Nick Hamm,Timothy Spall Colm Meaney Freddie Highmore Nick Hamm Drama
mclaren,Documentary,Dwayne Cameron,Mario Andretti,Alastair Caldwell,Roger Donaldson,Dwayne Cameron Mario Andretti Alastair Caldwell Roger Donaldson Documentary
all about the money,Comedy,Danny Trejo,Casper Van Dien,Mindy Robinson,Blake Freeman,Danny Trejo Casper Van Dien Mindy Robinson Blake Freeman Comedy
brain on fire,Drama,Chloë Grace Moretz,Thomas Mann,Richard Armitage,Gerard Barrett,Chloë Grace Moretz Thomas Mann Richard Armitage Gerard Barrett Drama
drone,Thriller,Sean Bean,Mary McCormack,Joel David Moore,Jason Bourque,Sean Bean Mary McCormack Joel David Moore Jason Bourque Thriller
dragonheart: battle for the heartfire,Adventure,Marte Germaine Christensen,Patrick Stewart,Tom Rhys Harries,Patrik Syversen,Marte Germaine Christensen Patrick Stewart Tom Rhys Harries Patrik Syversen Adventure
stasis,Adventure,Anna Harr,Mark Grossman,Phyllis Spielman,Nicole Jones-Dion,Anna Harr Mark Grossman Phyllis Spielman Nicole Jones-Dion Adventure
growing up smith,Comedy,Roni Akurati,Brighton Sharbino,Jason Lee,Frank Lotito,Roni Akurati Brighton Sharbino Jason Lee Frank Lotito Comedy
awol,Drama,Lola Kirke,Breeda Wool,Dale Soules,Deb Shoval,Lola Kirke Breeda Wool Dale Soules Deb Shoval Drama
shimmer lake,Thriller,Rainn Wilson,Benjamin Walker,John Michael Higgins,Oren Uziel,Rainn Wilson Benjamin Walker John Michael Higgins Oren Uziel Thriller
what happened to monday,Sci-Fi,Noomi Rapace,Marwan Kenzari,Christian Rubeck,Tommy Wirkola,Noomi Rapace Marwan Kenzari Christian Rubeck Tommy Wirkola Sci-Fi
the son of bigfoot,Animation,Tom Beck,Cinda Adams,Bob Barlen,Ben Stassen Jérémie Degruson,Tom Beck Cinda Adams Bob Barlen Ben Stassen Jérémie Degruson Animation
atomic blonde,Action,Charlize Theron,James McAvoy,Sofia Boutella,David Leitch,Charlize Theron James McAvoy Sofia Boutella David Leitch Action
aaron's blood,Drama,James Martinez,Trevor Sterling Stovall,Michael Chieffo,Tommy Stovall,James Martinez Trevor Sterling Stovall Michael Chieffo Tommy Stovall Drama
saving banksy,Documentary,,,,Colin Day,   Colin Day Documentary
the exception,Drama,Lily James,Jai Courtney,Eddie Marsan,David Leveaux,Lily James Jai Courtney Eddie Marsan David Leveaux Drama
goon: last of the enforcers,Comedy,Seann William Scott,Alison Pill,Marc-André Grondin,Jay Baruchel,Seann William Scott Alison Pill Marc-André Grondin Jay Baruchel Comedy
the keepers,Crime,,,,Ryan White,   Ryan White Crime
the summoning,Thriller,Eric Roberts,Leila Almas,Jaime Zevallos,Alberto G. Rodriguez,Eric Roberts Leila Almas Jaime Zevallos Alberto G. Rodriguez Thriller
once upon a time in venice,Action,Bruce Willis,Jason Momoa,John Goodman,Mark Cullen,Bruce Willis Jason Momoa John Goodman Mark Cullen Action
resurrecting hassan,Documentary,Denis Harting,Peggy Roux,Lauviah Harting,Carlo Guillermo Proto,Denis Harting Peggy Roux Lauviah Harting Carlo Guillermo Proto Documentary
the putin interviews,Documentary,,,,Oliver Stone,   Oliver Stone Documentary
an inconvenient sequel: truth to power,Documentary,Al Gore,Barack Obama,Donald Trump,Bonni Cohen Jon Shenk,Al Gore Barack Obama Donald Trump Bonni Cohen Jon Shenk Documentary
rakka,Action,Sigourney Weaver,Eugene Khumbanyiwa,Robert Hobbs,Neill Blomkamp,Sigourney Weaver Eugene Khumbanyiwa Robert Hobbs Neill Blomkamp Action
jawbone,Action,Johnny Harris,Ian McShane,Ray Winstone,Thomas Q. Napper,Johnny Harris Ian McShane Ray Winstone Thomas Q. Napper Action
a gray state,Documentary,,,,Erik Nelson,   Erik Nelson Documentary
altitude,Action,Dolph Lundgren,Denise Richards,Greer Grammer,Alex Merkin,Dolph Lundgren Denise Richards Greer Grammer Alex Merkin Action
strong island,Documentary,,,,Yance Ford,   Yance Ford Documentary
cream,Animation,David Firth,Carla Simpson,Christian Webb,David Firth,David Firth Carla Simpson Christian Webb David Firth Animation
chasing trane,Documentary,Denzel Washington,Common,Bill Clinton,John Scheinfeld,Denzel Washington Common Bill Clinton John Scheinfeld Documentary
abacus: small enough to jail,Documentary,Neil Barofsky,Ti-Hua Chang,Jiayang Fan,Steve James,Neil Barofsky Ti-Hua Chang Jiayang Fan Steve James Documentary
transformers: the last knight,Action,Mark Wahlberg,Josh Duhamel,Laura Haddock,Michael Bay,Mark Wahlberg Josh Duhamel Laura Haddock Michael Bay Action
churchill,Drama,Brian Cox,Miranda Richardson,John Slattery,Jonathan Teplitzky,Brian Cox Miranda Richardson John Slattery Jonathan Teplitzky Drama
dina,Documentary,,,,Dan Sickles Antonio Santini,   Dan Sickles Antonio Santini Documentary
the hatton garden job,Crime,Matthew Goode,Joely Richardson,Larry Lamb,Ronnie Thompson,Matthew Goode Joely Richardson Larry Lamb Ronnie Thompson Crime
hampstead,Romance,Diane Keaton,Brendan Gleeson,James Norton,Joel Hopkins,Diane Keaton Brendan Gleeson James Norton Joel Hopkins Romance
1 night,Drama,Kyle Allen,Isabelle Fuhrman,Justin Chatwin,Minhal Baig,Kyle Allen Isabelle Fuhrman Justin Chatwin Minhal Baig Drama
"oh, hello: on broadway",Comedy,Nick Kroll,John Mulaney,Steve Martin,Michael John Warren Alex Timbers,Nick Kroll John Mulaney Steve Martin Michael John Warren Alex Timbers Comedy
site unseen: an emma fielding mystery,Mystery,Courtney Thorne-Smith,James Tupper,Adam DiMarco,Douglas Barr,Courtney Thorne-Smith James Tupper Adam DiMarco Douglas Barr Mystery
savageland,Horror,Monica Davis,Edward L. Green,Patrick Pedraza,Phil Guidry Simon Herbert David Whelan,Monica Davis Edward L. Green Patrick Pedraza Phil Guidry Simon Herbert David Whelan Horror
you get me,Thriller,Bella Thorne,Halston Sage,Taylor John Smith,Brent Bonacorso,Bella Thorne Halston Sage Taylor John Smith Brent Bonacorso Thriller
grey lady,Thriller,Eric Dane,Natalie Zea,Amy Madigan,John Shea,Eric Dane Natalie Zea Amy Madigan John Shea Thriller
good time,Drama,Robert Pattinson,Jennifer Jason Leigh,Ben Safdie,Joshua Safdie Ben Safdie,Robert Pattinson Jennifer Jason Leigh Ben Safdie Joshua Safdie Ben Safdie Drama
eat local,Action,Charlie Cox,Tony Curran,Mackenzie Crook,Jason Flemyng,Charlie Cox Tony Curran Mackenzie Crook Jason Flemyng Action
hell on earth: the fall of syria and the rise of isis,Documentary,,,,Sebastian Junger Nick Quested,   Sebastian Junger Nick Quested Documentary
the house,Comedy,Amy Poehler,Will Ferrell,Allison Tolman,Andrew J. Cohen,Amy Poehler Will Ferrell Allison Tolman Andrew J. Cohen Comedy
five came back,War,Guillermo del Toro,Steven Spielberg,Paul Greengrass,Laurent Bouzereau,Guillermo del Toro Steven Spielberg Paul Greengrass Laurent Bouzereau War
the babymoon,Romance,Julie McNiven,Shaun Sipos,Jessica Camacho,Bailey Kobe,Julie McNiven Shaun Sipos Jessica Camacho Bailey Kobe Romance
legion of brothers,Documentary,Jason Amerine,George W. Bush,Mark Nutsch,Greg Barker,Jason Amerine George W. Bush Mark Nutsch Greg Barker Documentary
chuck,Drama,Liev Schreiber,Naomi Watts,Elisabeth Moss,Philippe Falardeau,Liev Schreiber Naomi Watts Elisabeth Moss Philippe Falardeau Drama
02:22,Drama,Michiel Huisman,Teresa Palmer,Sam Reid,Paul Currie,Michiel Huisman Teresa Palmer Sam Reid Paul Currie Drama
addicted to porn: chasing the cardboard butterfly,Documentary,,,,Justin Hunt,   Justin Hunt Documentary
ripped,Comedy,Alex Meneses,Faizon Love,Russell Peters,Brad Epstein,Alex Meneses Faizon Love Russell Peters Brad Epstein Comedy
firebase,Action,Steve Boyle,Nic Rhind,Robert Hobbs,Neill Blomkamp,Steve Boyle Nic Rhind Robert Hobbs Neill Blomkamp Action
edith walks,Documentary,,,,Andrew Kötting,   Andrew Kötting Documentary
city of ghosts,Documentary,,,,Matthew Heineman,   Matthew Heineman Documentary
chasing coral,Documentary,Andrew Ackerman,Pim Bongaerts,Neal Cantin,Jeff Orlowski,Andrew Ackerman Pim Bongaerts Neal Cantin Jeff Orlowski Documentary
this is everything: gigi gorgeous,Documentary,,,,Barbara Kopple,   Barbara Kopple Documentary
78/52,Documentary,Guillermo del Toro,Peter Bogdanovich,Karyn Kusama,Alexandre O. Philippe,Guillermo del Toro Peter Bogdanovich Karyn Kusama Alexandre O. Philippe Documentary
water & power: a california heist,Documentary,,,,Marina Zenovich,   Marina Zenovich Documentary
what the health,Documentary,Kip Andersen,Larry Baldwin,Neal Barnard,Kip Andersen Keegan Kuhn,Kip Andersen Larry Baldwin Neal Barnard Kip Andersen Keegan Kuhn Documentary
joshua: teenager vs. superpower,Documentary,,,,Joe Piscatella,   Joe Piscatella Documentary
revolt,Sci-Fi,Lee Pace,Bérénice Marlohe,Jason Flemyng,Joe Miale,Lee Pace Bérénice Marlohe Jason Flemyng Joe Miale Sci-Fi
hickok,Western,Luke Hemsworth,Trace Adkins,Bruce Dern,Timothy Woodward Jr.,Luke Hemsworth Trace Adkins Bruce Dern Timothy Woodward Jr. Western
do you take this man,Drama,Anthony Rapp,Alona Tal,Alyson Hannigan,Joshua Tunick,Anthony Rapp Alona Tal Alyson Hannigan Joshua Tunick Drama
inconceivable,Thriller,Nicolas Cage,Gina Gershon,Nicky Whelan,Jonathan Baker,Nicolas Cage Gina Gershon Nicky Whelan Jonathan Baker Thriller
security,Action,Antonio Banderas,Ben Kingsley,Liam McIntyre,Alain Desrochers,Antonio Banderas Ben Kingsley Liam McIntyre Alain Desrochers Action
overdrive,Thriller,Scott Eastwood,Freddie Thorp,Ana de Armas,Antonio Negret,Scott Eastwood Freddie Thorp Ana de Armas Antonio Negret Thriller
