,director,actor2,genres,actor1,title,actor3,comb
692,Sydney Pollack,Kristin Scott Thomas,Drama Mystery Romance,Harrison Ford,random hearts,Bill Cobbs,Harrison Ford Kristin Scott Thomas Bill Cobbs Sydney Pollack Drama Mystery Romance
693,Baltasar Kormákur,Martin Henderson,Adventure Biography Drama History Sport Thriller,Michael Kelly,everest,Tom Goodman-Hill,Michael Kelly Martin Henderson Tom Goodman-Hill Baltasar Kormákur Adventure Biography Drama History Sport Thriller
694,Tom Tykwer,David Calder,Crime Drama Fantasy,Michael Smiley,perfume: the story of a murderer,Simon Chandler,Michael Smiley David Calder Simon Chandler Tom Tykwer Crime Drama Fantasy
695,Jay Roach,Josh Zuckerman,Action Comedy Crime,Verne Troyer,austin powers in goldmember,Robert Wagner,Verne Troyer Josh Zuckerman Robert Wagner Jay Roach Action Comedy Crime
696,David Bowers,Charlize Theron,Action Animation Comedy Family Sci-Fi,Nicolas Cage,astro boy,Dee Bradley Baker,Nicolas Cage Charlize Theron Dee Bradley Baker David Bowers Action Animation Comedy Family Sci-Fi
697,Steven Spielberg,Ariana Richards,Adventure Sci-Fi Thriller,Wayne Knight,jurassic park,Bob Peck,Wayne Knight Ariana Richards Bob Peck Steven Spielberg Adventure Sci-Fi Thriller
698,Lawrence Kasdan,Catherine O'Hara,Adventure Biography Crime Drama Western,Dennis Quaid,wyatt earp,Isabella Rossellini,Dennis Quaid Catherine O'Hara Isabella Rossellini Lawrence Kasdan Adventure Biography Crime Drama Western
699,Phillip Noyce,Dean Jones,Action Crime Drama Thriller,Harrison Ford,clear and present danger,Raymond Cruz,Harrison Ford Dean Jones Raymond Cruz Phillip Noyce Action Crime Drama Thriller
701,Keenen Ivory Wayans,Brittany Daniel,Comedy Crime,Chazz Palminteri,littleman,John Witherspoon,Chazz Palminteri Brittany Daniel John Witherspoon Keenen Ivory Wayans Comedy Crime
702,Jonathan Mostow,Thomas Kretschmann,Action War,Matthew McConaughey,u-571,David Keith,Matthew McConaughey Thomas Kretschmann David Keith Jonathan Mostow Action War
703,Rob Reiner,Samantha Mathis,Comedy Drama Romance,Shawna Waldron,the american president,Wendie Malick,Shawna Waldron Samantha Mathis Wendie Malick Rob Reiner Comedy Drama Romance
704,Marco Schnabel,Romany Malco,Comedy Romance Sport,Justin Timberlake,the love guru,Verne Troyer,Justin Timberlake Romany Malco Verne Troyer Marco Schnabel Comedy Romance Sport
705,Demian Lichtenstein,Bokeem Woodbine,Action Comedy Crime Thriller,Jon Lovitz,3000 miles to graceland,Ice-T,Jon Lovitz Bokeem Woodbine Ice-T Demian Lichtenstein Action Comedy Crime Thriller
706,Quentin Tarantino,Jennifer Jason Leigh,Crime Drama Mystery Thriller Western,Craig Stark,the hateful eight,Zoë Bell,Craig Stark Jennifer Jason Leigh Zoë Bell Quentin Tarantino Crime Drama Mystery Thriller Western
707,Josh Gordon,Amy Poehler,Comedy Sport,Will Ferrell,blades of glory,Jon Heder,Will Ferrell Amy Poehler Jon Heder Josh Gordon Comedy Sport
708,Tim Hill,Elizabeth Perkins,Adventure Animation Comedy Family Fantasy,Gary Cole,hop,Chelsea Handler,Gary Cole Elizabeth Perkins Chelsea Handler Tim Hill Adventure Animation Comedy Family Fantasy
709,Zack Snyder,Michael Fassbender,Action Drama Fantasy War,Gerard Butler,300,Vincent Regan,Gerard Butler Michael Fassbender Vincent Regan Zack Snyder Action Drama Fantasy War
710,Jay Roach,Blythe Danner,Comedy Romance,Robert De Niro,meet the fockers,Teri Polo,Robert De Niro Blythe Danner Teri Polo Jay Roach Comedy Romance
711,David Frankel,Kathleen Turner,Comedy Drama Family,Eric Dane,marley & me,Haley Bennett,Eric Dane Kathleen Turner Haley Bennett David Frankel Comedy Drama Family
712,Frank Darabont,Jeffrey DeMunn,Crime Drama Fantasy Mystery,Tom Hanks,the green mile,Michael Jeter,Tom Hanks Jeffrey DeMunn Michael Jeter Frank Darabont Crime Drama Fantasy Mystery
713,Walt Becker,Tichina Arnold,Action Adventure Comedy,Jill Hennessy,wild hogs,Drew Sidora,Jill Hennessy Tichina Arnold Drew Sidora Walt Becker Action Adventure Comedy
714,Mark Dindal,Fred Willard,Adventure Animation Comedy Family Sci-Fi,Catherine O'Hara,chicken little,Amy Sedaris,Catherine O'Hara Fred Willard Amy Sedaris Mark Dindal Adventure Animation Comedy Family Sci-Fi
715,David Fincher,Sela Ward,Crime Drama Mystery Thriller,Patrick Fugit,gone girl,Emily Ratajkowski,Patrick Fugit Sela Ward Emily Ratajkowski David Fincher Crime Drama Mystery Thriller
716,Doug Liman,Josh Hamilton,Action Mystery Thriller,Matt Damon,the bourne identity,Nicky Naudé,Matt Damon Josh Hamilton Nicky Naudé Doug Liman Action Mystery Thriller
717,Martin Campbell,Joe Don Baker,Action Adventure Thriller,Izabella Scorupco,goldeneye,Tchéky Karyo,Izabella Scorupco Joe Don Baker Tchéky Karyo Martin Campbell Action Adventure Thriller
718,Simon West,Timothy Hutton,Drama Mystery Thriller,Daniel von Bargen,the general's daughter,Clarence Williams III,Daniel von Bargen Timothy Hutton Clarence Williams III Simon West Drama Mystery Thriller
719,Peter Weir,Noah Emmerich,Comedy Drama Sci-Fi,Natascha McElhone,the truman show,Peter Krause,Natascha McElhone Noah Emmerich Peter Krause Peter Weir Comedy Drama Sci-Fi
720,Brenda Chapman,Aria Noelle Curzon,Adventure Animation Biography Drama Family Fantasy Musical,Martin Short,the prince of egypt,Eden Riegel,Martin Short Aria Noelle Curzon Eden Riegel Brenda Chapman Adventure Animation Biography Drama Family Fantasy Musical
721,Steve Carr,Lisa Edelstein,Comedy Family,Anjelica Huston,daddy day care,Jeff Garlin,Anjelica Huston Lisa Edelstein Jeff Garlin Steve Carr Comedy Family
722,Baltasar Kormákur,Patrick Fischler,Action Comedy Crime Drama Thriller,Denzel Washington,2 guns,Fred Ward,Denzel Washington Patrick Fischler Fred Ward Baltasar Kormákur Action Comedy Crime Drama Thriller
723,Lawrence Guterman,Elizabeth Perkins,Action Comedy Family Fantasy,Carol Ann Susi,cats & dogs,Miriam Margolyes,Carol Ann Susi Elizabeth Perkins Miriam Margolyes Lawrence Guterman Action Comedy Family Fantasy
724,F. Gary Gray,Charlize Theron,Action Crime Thriller,Jason Statham,the italian job,Jimmy Shubert,Jason Statham Charlize Theron Jimmy Shubert F. Gary Gray Action Crime Thriller
725,Marc Lawrence,Alicia Witt,Comedy Romance,Dorian Missick,two weeks notice,Dana Ivey,Dorian Missick Alicia Witt Dana Ivey Marc Lawrence Comedy Romance
726,Eric Darnell,Woody Allen,Adventure Animation Comedy Family,Sylvester Stallone,antz,Anne Bancroft,Sylvester Stallone Woody Allen Anne Bancroft Eric Darnell Adventure Animation Comedy Family
727,Peter Billingsley,Kristin Davis,Comedy,Jon Favreau,couples retreat,Tasha Smith,Jon Favreau Kristin Davis Tasha Smith Peter Billingsley Comedy
728,Tony Scott,Robert Duvall,Action Drama Sport,Tom Cruise,days of thunder,Randy Quaid,Tom Cruise Robert Duvall Randy Quaid Tony Scott Action Drama Sport
729,Adam Shankman,Tom Welling,Adventure Comedy Family,Taylor Lautner,cheaper by the dozen 2,Alyson Stoner,Taylor Lautner Tom Welling Alyson Stoner Adam Shankman Adventure Comedy Family
730,Wes Ball,Lili Taylor,Action Sci-Fi Thriller,Ki Hong Lee,the scorch trials,Rosa Salazar,Ki Hong Lee Lili Taylor Rosa Salazar Wes Ball Action Sci-Fi Thriller
731,Ryan Murphy,Julia Roberts,Drama Romance,James Franco,eat pray love,Billy Crudup,James Franco Julia Roberts Billy Crudup Ryan Murphy Drama Romance
732,Brett Ratner,Don Cheadle,Comedy Drama Fantasy Romance,Nicolas Cage,the family man,Amber Valletta,Nicolas Cage Don Cheadle Amber Valletta Brett Ratner Comedy Drama Fantasy Romance
733,Robert Schwentke,Morgan Freeman,Action Comedy Crime Thriller,Bruce Willis,red,Jaqueline Fleming,Bruce Willis Morgan Freeman Jaqueline Fleming Robert Schwentke Action Comedy Crime Thriller
734,Oliver Stone,Dennis Quaid,Drama Sport,Al Pacino,any given sunday,LL Cool J,Al Pacino Dennis Quaid LL Cool J Oliver Stone Drama Sport
735,Robert Redford,Kristin Scott Thomas,Drama Romance Western,Scarlett Johansson,the horse whisperer,Jessalyn Gilsig,Scarlett Johansson Kristin Scott Thomas Jessalyn Gilsig Robert Redford Drama Romance Western
736,Michael Mann,Jada Pinkett Smith,Crime Drama Thriller,Tom Cruise,collateral,Debi Mazar,Tom Cruise Jada Pinkett Smith Debi Mazar Michael Mann Crime Drama Thriller
737,Chuck Russell,Roger Rees,Action Adventure Fantasy Thriller,Dwayne Johnson,the scorpion king,Bernard Hill,Dwayne Johnson Roger Rees Bernard Hill Chuck Russell Action Adventure Fantasy Thriller
738,Jay Russell,Jay Hernandez,Action Drama Thriller,Billy Burke,ladder 49,Jacinda Barrett,Billy Burke Jay Hernandez Jacinda Barrett Jay Russell Action Drama Thriller
739,Christopher McQuarrie,Robert Duvall,Action Crime Mystery Thriller,Tom Cruise,jack reacher,David Oyelowo,Tom Cruise Robert Duvall David Oyelowo Christopher McQuarrie Action Crime Mystery Thriller
740,Renny Harlin,Michael Rapaport,Action Sci-Fi Thriller,LL Cool J,deep blue sea,Saffron Burrows,LL Cool J Michael Rapaport Saffron Burrows Renny Harlin Action Sci-Fi Thriller
741,Kenny Ortega,Mekia Cox,Documentary Music,Misha Gabriel Hamilton,this is it,Judith Hill,Misha Gabriel Hamilton Mekia Cox Judith Hill Kenny Ortega Documentary Music
742,Steven Soderbergh,Monique Gabriela Curnen,Drama Thriller,Matt Damon,contagion,Griffin Kane,Matt Damon Monique Gabriela Curnen Griffin Kane Steven Soderbergh Drama Thriller
743,David McNally,Dyan Cannon,Action Adventure Comedy Crime,Estella Warren,kangaroo jack,Bill Hunter,Estella Warren Dyan Cannon Bill Hunter David McNally Action Adventure Comedy Crime
744,Henry Selick,Dawn French,Animation Family Fantasy,Jennifer Saunders,coraline,John Hodgman,Jennifer Saunders Dawn French John Hodgman Henry Selick Animation Family Fantasy
745,M. Night Shyamalan,Alan Ruck,Sci-Fi Thriller,Zooey Deschanel,the happening,Kristen Connolly,Zooey Deschanel Alan Ruck Kristen Connolly M. Night Shyamalan Sci-Fi Thriller
746,Tony Scott,Radha Mitchell,Action Crime Drama Thriller,Denzel Washington,man on fire,Giancarlo Giannini,Denzel Washington Radha Mitchell Giancarlo Giannini Tony Scott Action Crime Drama Thriller
747,Brian Robbins,Joel David Moore,Comedy Family Fantasy,Robert Downey Jr.,the shaggy dog,Kristin Davis,Robert Downey Jr. Joel David Moore Kristin Davis Brian Robbins Comedy Family Fantasy
748,Todd Phillips,Carmen Electra,Comedy Crime,Snoop Dogg,starsky & hutch,Fred Williamson,Snoop Dogg Carmen Electra Fred Williamson Todd Phillips Comedy Crime
749,Brian Levant,Harvey Korman,Comedy Family,Jim Belushi,jingle all the way,Jake Lloyd,Jim Belushi Harvey Korman Jake Lloyd Brian Levant Comedy Family
750,Guillermo del Toro,Rupert Evans,Action Fantasy Horror Sci-Fi,James Babson,hellboy,Brian Steele,James Babson Rupert Evans Brian Steele Guillermo del Toro Action Fantasy Horror Sci-Fi
751,Steven Zaillian,Kathleen Quinlan,Drama,Robert Duvall,a civil action,Sydney Pollack,Robert Duvall Kathleen Quinlan Sydney Pollack Steven Zaillian Drama
752,Chris Butler,Kodi Smit-McPhee,Adventure Animation Comedy Family Fantasy,Anna Kendrick,paranorman,Elaine Stritch,Anna Kendrick Kodi Smit-McPhee Elaine Stritch Chris Butler Adventure Animation Comedy Family Fantasy
753,Michael Caton-Jones,Bruce Willis,Action Adventure Crime Thriller,J.K. Simmons,the jackal,Sophie Okonedo,J.K. Simmons Bruce Willis Sophie Okonedo Michael Caton-Jones Action Adventure Crime Thriller
754,John Woo,Joe Morton,Action Mystery Sci-Fi Thriller,Ivana Milicevic,paycheck,Callum Rennie,Ivana Milicevic Joe Morton Callum Rennie John Woo Action Mystery Sci-Fi Thriller
755,Jon Avnet,Stockard Channing,Drama Romance,Joe Mantegna,up close & personal,Raymond Cruz,Joe Mantegna Stockard Channing Raymond Cruz Jon Avnet Drama Romance
756,Sam Fell,Matthew Broderick,Adventure Animation Comedy Family Fantasy,Emma Watson,the tale of despereaux,Frank Langella,Emma Watson Matthew Broderick Frank Langella Sam Fell Adventure Animation Comedy Family Fantasy
757,,Oliver Hudson,Comedy Romance,Bianca Kajlich,rules of engagement            ,Adhir Kalyan,Bianca Kajlich Oliver Hudson Adhir Kalyan  Comedy Romance
758,Kevin Donovan,Debi Mazar,Action Comedy Sci-Fi,Romany Malco,the tuxedo,Ritchie Coster,Romany Malco Debi Mazar Ritchie Coster Kevin Donovan Action Comedy Sci-Fi
759,Geoff Murphy,Brenda Bakke,Action Thriller,Peter Greene,under siege 2: dark territory,Patrick Kilpatrick,Peter Greene Brenda Bakke Patrick Kilpatrick Geoff Murphy Action Thriller
760,Kenneth Branagh,Nonso Anozie,Action Drama Thriller,Colm Feore,jack ryan: shadow recruit,Gemma Chan,Colm Feore Nonso Anozie Gemma Chan Kenneth Branagh Action Drama Thriller
761,David O. Russell,Robert De Niro,Biography Comedy Drama,Jennifer Lawrence,joy,Bradley Cooper,Jennifer Lawrence Robert De Niro Bradley Cooper David O. Russell Biography Comedy Drama
762,Babak Najafi,Radha Mitchell,Action Crime Drama Thriller,Gerard Butler,london has fallen,Julian Kostov,Gerard Butler Radha Mitchell Julian Kostov Babak Najafi Action Crime Drama Thriller
763,Jean-Pierre Jeunet,Michael Wincott,Action Horror Sci-Fi,Gary Dourdan,alien: resurrection,Raymond Cruz,Gary Dourdan Michael Wincott Raymond Cruz Jean-Pierre Jeunet Action Horror Sci-Fi
764,Antoine Fuqua,Ned Beatty,Action Crime Drama Mystery Thriller,Tate Donovan,shooter,Louis Ferreira,Tate Donovan Ned Beatty Louis Ferreira Antoine Fuqua Action Crime Drama Mystery Thriller
765,Graham Annable,Dee Bradley Baker,Adventure Animation Comedy Family Fantasy,Isaac Hempstead Wright,the boxtrolls,Tracy Morgan,Isaac Hempstead Wright Dee Bradley Baker Tracy Morgan Graham Annable Adventure Animation Comedy Family Fantasy
766,Griffin Dunne,Dianne Wiest,Comedy Drama Fantasy Romance,Goran Visnjic,practical magic,Stockard Channing,Goran Visnjic Dianne Wiest Stockard Channing Griffin Dunne Comedy Drama Fantasy Romance
767,Phil Lord,Will Ferrell,Action Adventure Animation Comedy Family Fantasy,Morgan Freeman,the lego movie,Alison Brie,Morgan Freeman Will Ferrell Alison Brie Phil Lord Action Adventure Animation Comedy Family Fantasy
768,John Pasquin,Diedrich Bader,Action Comedy Crime,Eileen Brennan,miss congeniality 2: armed and fabulous,Treat Williams,Eileen Brennan Diedrich Bader Treat Williams John Pasquin Action Comedy Crime
769,Rob Bowman,Gerard Butler,Action Adventure Fantasy Sci-Fi Thriller,Christian Bale,reign of fire,Matthew McConaughey,Christian Bale Gerard Butler Matthew McConaughey Rob Bowman Action Adventure Fantasy Sci-Fi Thriller
770,Ruben Fleischer,Brandon Molale,Action Crime Drama Thriller,Ryan Gosling,gangster squad,Wade Williams,Ryan Gosling Brandon Molale Wade Williams Ruben Fleischer Action Crime Drama Thriller
771,Harold Ramis,Oliver Platt,Adventure Comedy,Olivia Wilde,year one,Xander Berkeley,Olivia Wilde Oliver Platt Xander Berkeley Harold Ramis Adventure Comedy
772,Clint Eastwood,Morgan Freeman,Biography Drama History Sport,Matt Damon,invictus,Leleti Khumalo,Matt Damon Morgan Freeman Leleti Khumalo Clint Eastwood Biography Drama History Sport
773,Kevin Macdonald,Harry Lennix,Crime Drama Mystery Thriller,Robin Wright,state of play,Michael Weston,Robin Wright Harry Lennix Michael Weston Kevin Macdonald Crime Drama Mystery Thriller
774,Tony Gilroy,Tom Wilkinson,Comedy Crime Romance Thriller,Julia Roberts,duplicity,Denis O'Hare,Julia Roberts Tom Wilkinson Denis O'Hare Tony Gilroy Comedy Crime Romance Thriller
775,Donald Petrie,Ray Walston,Comedy Family Sci-Fi,Steven Anthony Lawrence,my favorite martian,Michael Lerner,Steven Anthony Lawrence Ray Walston Michael Lerner Donald Petrie Comedy Family Sci-Fi
776,Clark Johnson,David Rasche,Action Crime Thriller,Blair Brown,the sentinel,Martin Donovan,Blair Brown David Rasche Martin Donovan Clark Johnson Action Crime Thriller
777,Jorge Blanco,Gary Oldman,Adventure Animation Comedy Family Sci-Fi,Dwayne Johnson,planet 51,James Corden,Dwayne Johnson Gary Oldman James Corden Jorge Blanco Adventure Animation Comedy Family Sci-Fi
778,Stuart Baird,LeVar Burton,Action Adventure Sci-Fi Thriller,Tom Hardy,star trek: nemesis,Jonathan Frakes,Tom Hardy LeVar Burton Jonathan Frakes Stuart Baird Action Adventure Sci-Fi Thriller
779,Joel Coen,Paul Adelstein,Comedy Crime Romance,Cedric the Entertainer,intolerable cruelty,Julia Duffy,Cedric the Entertainer Paul Adelstein Julia Duffy Joel Coen Comedy Crime Romance
780,Robert Lorenz,Ed Lauter,Drama Sport,Clint Eastwood,trouble with the curve,Bob Gunton,Clint Eastwood Ed Lauter Bob Gunton Robert Lorenz Drama Sport
781,Martin Campbell,Ray Winstone,Crime Drama Mystery Thriller,Bojana Novakovic,edge of darkness,Denis O'Hare,Bojana Novakovic Ray Winstone Denis O'Hare Martin Campbell Crime Drama Mystery Thriller
782,Peter Hyams,Penelope Ann Miller,Horror Mystery Sci-Fi Thriller,John Kapelos,the relic,Chi Muoi Lo,John Kapelos Penelope Ann Miller Chi Muoi Lo Peter Hyams Horror Mystery Sci-Fi Thriller
783,Harold Ramis,Cathy Moriarty,Comedy Crime,Robert De Niro,analyze that,Joe Viterelli,Robert De Niro Cathy Moriarty Joe Viterelli Harold Ramis Comedy Crime
784,Jon Avnet,Al Pacino,Action Crime Drama Mystery Thriller,Robert De Niro,righteous kill,50 Cent,Robert De Niro Al Pacino 50 Cent Jon Avnet Action Crime Drama Mystery Thriller
785,Harold Becker,Miko Hughes,Action Crime Drama Thriller,Bruce Willis,mercury rising,Carrie Preston,Bruce Willis Miko Hughes Carrie Preston Harold Becker Action Crime Drama Thriller
786,Joe Wright,Stephen Root,Biography Drama Music,Robert Downey Jr.,the soloist,Rachael Harris,Robert Downey Jr. Stephen Root Rachael Harris Joe Wright Biography Drama Music
787,Robert Redford,Will Smith,Drama Fantasy Sport,Matt Damon,the legend of bagger vance,Charlize Theron,Matt Damon Will Smith Charlize Theron Robert Redford Drama Fantasy Sport
788,Cameron Crowe,Zooey Deschanel,Adventure Comedy Drama Music,Philip Seymour Hoffman,almost famous,Michael Angarano,Philip Seymour Hoffman Zooey Deschanel Michael Angarano Cameron Crowe Adventure Comedy Drama Music
789,Tim Hill,Roger Rees,Animation Comedy Family Fantasy,Bill Murray,garfield 2,Ben Falcone,Bill Murray Roger Rees Ben Falcone Tim Hill Animation Comedy Family Fantasy
790,Lee Tamahori,Nona Gaye,Action Adventure Crime Thriller,Sunny Mabrey,xxx: state of the union,Xzibit,Sunny Mabrey Nona Gaye Xzibit Lee Tamahori Action Adventure Crime Thriller
791,Scott Stewart,Alan Dale,Action Fantasy Horror Sci-Fi Thriller,Josh Wingate,priest,Jacob Hopkins,Josh Wingate Alan Dale Jacob Hopkins Scott Stewart Action Fantasy Horror Sci-Fi Thriller
792,Patrick Gilmore,Adriano Giannini,Adventure Animation Comedy Drama Family Fantasy Romance,Brad Pitt,sinbad: legend of the seven seas,Timothy West,Brad Pitt Adriano Giannini Timothy West Patrick Gilmore Adventure Animation Comedy Drama Family Fantasy Romance
793,Paul W.S. Anderson,Joely Richardson,Horror Sci-Fi Thriller,Sean Pertwee,event horizon,Kathleen Quinlan,Sean Pertwee Joely Richardson Kathleen Quinlan Paul W.S. Anderson Horror Sci-Fi Thriller
794,Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,the avengers,Scarlett Johansson,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
795,Tom Shadyac,Susanna Thompson,Drama Fantasy Mystery Romance Thriller,Joe Morton,dragonfly,Matt Craven,Joe Morton Susanna Thompson Matt Craven Tom Shadyac Drama Fantasy Mystery Romance Thriller
796,Brian De Palma,Mia Kirshner,Crime Drama Mystery Thriller,Scarlett Johansson,the black dahlia,Mike Starr,Scarlett Johansson Mia Kirshner Mike Starr Brian De Palma Crime Drama Mystery Thriller
797,Tony Bill,Tyler Labine,Action Adventure Drama History Romance War,James Franco,flyboys,Philip Winchester,James Franco Tyler Labine Philip Winchester Tony Bill Action Adventure Drama History Romance War
798,Rod Lurie,Delroy Lindo,Action Drama Thriller,Clifton Collins Jr.,the last castle,Michael Irby,Clifton Collins Jr. Delroy Lindo Michael Irby Rod Lurie Action Drama Thriller
799,Walter Hill,Wilson Cruz,Horror Sci-Fi Thriller,Robert Forster,supernova,Vanessa Marshall,Robert Forster Wilson Cruz Vanessa Marshall Walter Hill Horror Sci-Fi Thriller
800,Akiva Goldsman,William Hurt,Drama Fantasy Mystery Romance,Matt Bomer,winter's tale,Kevin Corrigan,Matt Bomer William Hurt Kevin Corrigan Akiva Goldsman Drama Fantasy Mystery Romance
801,Harald Zwart,Kevin Zegers,Fantasy Horror Mystery Romance,Aidan Turner,the mortal instruments: city of bones,CCH Pounder,Aidan Turner Kevin Zegers CCH Pounder Harald Zwart Fantasy Horror Mystery Romance
802,Brian Robbins,Mike O'Malley,Adventure Comedy Family Romance Sci-Fi,Marc Blucas,meet dave,Shawn Christian,Marc Blucas Mike O'Malley Shawn Christian Brian Robbins Adventure Comedy Family Romance Sci-Fi
803,Walter Salles,Camryn Manheim,Drama Horror Thriller,Dougray Scott,dark water,Ariel Gade,Dougray Scott Camryn Manheim Ariel Gade Walter Salles Drama Horror Thriller
804,Ron Howard,Adam Goldberg,Comedy Drama,Matthew McConaughey,edtv,Clint Howard,Matthew McConaughey Adam Goldberg Clint Howard Ron Howard Comedy Drama
805,Iain Softley,Stephen Graham,Adventure Family Fantasy,Brendan Fraser,inkheart,Jamie Foreman,Brendan Fraser Stephen Graham Jamie Foreman Iain Softley Adventure Family Fantasy
806,Frank Miller,Jaime King,Action Crime Fantasy Thriller,Scarlett Johansson,the spirit,Louis Lombardi,Scarlett Johansson Jaime King Louis Lombardi Frank Miller Action Crime Fantasy Thriller
807,David Koepp,Olivia Munn,Action Comedy Mystery Romance,Johnny Depp,mortdecai,Ulrich Thomsen,Johnny Depp Olivia Munn Ulrich Thomsen David Koepp Action Comedy Mystery Romance
808,Uwe Boll,Mike Dopud,Action Adventure Fantasy Thriller,Jason Statham,in the name of the king: a dungeon siege tale,Tania Saulnier,Jason Statham Mike Dopud Tania Saulnier Uwe Boll Action Adventure Fantasy Thriller
809,Martin Campbell,Teri Polo,Adventure Drama Romance War,Angelina Jolie Pitt,beyond borders,Noah Emmerich,Angelina Jolie Pitt Teri Polo Noah Emmerich Martin Campbell Adventure Drama Romance War
810,Pou-Soi Cheang,Aaron Kwok,Action Adventure Fantasy,Li Gong,xi you ji zhi: sun wukong san da baigu jing,Eddie Peng,Li Gong Aaron Kwok Eddie Peng Pou-Soi Cheang Action Adventure Fantasy
812,Tim Miller,Ed Skrein,Action Adventure Comedy Romance Sci-Fi,Ryan Reynolds,deadpool,Stefan Kapicic,Ryan Reynolds Ed Skrein Stefan Kapicic Tim Miller Action Adventure Comedy Romance Sci-Fi
813,Stephen Herek,Morgan Fairchild,Comedy Drama,Kelly Preston,holy man,Eric McCormack,Kelly Preston Morgan Fairchild Eric McCormack Stephen Herek Comedy Drama
814,Clint Eastwood,Leonard Roberts,Action Biography Drama History Thriller War,Bradley Cooper,american sniper,Keir O'Donnell,Bradley Cooper Leonard Roberts Keir O'Donnell Clint Eastwood Action Biography Drama History Thriller War
815,Rob Letterman,Dylan Minnette,Adventure Comedy Family Fantasy Horror,Odeya Rush,goosebumps,Ken Marino,Odeya Rush Dylan Minnette Ken Marino Rob Letterman Adventure Comedy Family Fantasy Horror
816,,Soleil Moon Frye,Comedy Family Fantasy,Nate Richert,"sabrina, the teenage witch            ",Caroline Rhea,Nate Richert Soleil Moon Frye Caroline Rhea  Comedy Family Fantasy
817,Mark Waters,Ivana Milicevic,Comedy Fantasy Romance,Jon Heder,just like heaven,Willie Garson,Jon Heder Ivana Milicevic Willie Garson Mark Waters Comedy Fantasy Romance
818,Brian Levant,Mark Addy,Comedy Family Romance Sci-Fi,Taylor Negron,the flintstones in viva rock vegas,Danny Woodburn,Taylor Negron Mark Addy Danny Woodburn Brian Levant Comedy Family Romance Sci-Fi
819,Peter MacDonald,Kurtwood Smith,Action Adventure Thriller War,Sylvester Stallone,rambo iii,Richard Crenna,Sylvester Stallone Kurtwood Smith Richard Crenna Peter MacDonald Action Adventure Thriller War
820,George Clooney,Malcolm Goodwin,Comedy Drama Romance Sport,Robert Baker,leatherheads,Matt Bushell,Robert Baker Malcolm Goodwin Matt Bushell George Clooney Comedy Drama Romance Sport
821,Frank Coraci,Adam Sandler,Comedy Western,Taylor Lautner,the ridiculous 6,Jon Lovitz,Taylor Lautner Adam Sandler Jon Lovitz Frank Coraci Comedy Western
822,Marc Lawrence,Kim Shaw,Comedy Drama Romance,Michael Kelly,did you hear about the morgans?,Kevin Brown,Michael Kelly Kim Shaw Kevin Brown Marc Lawrence Comedy Drama Romance
823,Shawn Levy,Jessica Szohr,Comedy,Josh Gad,the internship,Rob Riggle,Josh Gad Jessica Szohr Rob Riggle Shawn Levy Comedy
824,Paul W.S. Anderson,Boris Kodjoe,Action Adventure Horror Sci-Fi,Milla Jovovich,resident evil: afterlife,Shawn Roberts,Milla Jovovich Boris Kodjoe Shawn Roberts Paul W.S. Anderson Action Adventure Horror Sci-Fi
825,Anthony Hemingway,Nate Parker,Action Adventure Drama History War,David Oyelowo,red tails,Tristan Mack Wilds,David Oyelowo Nate Parker Tristan Mack Wilds Anthony Hemingway Action Adventure Drama History War
826,,Kristin Davis,Comedy Romance,Chris Noth,sex and the city            ,Cynthia Nixon,Chris Noth Kristin Davis Cynthia Nixon  Comedy Romance
827,Taylor Hackford,Al Pacino,Drama Mystery Thriller,Keanu Reeves,the devil's advocate,Charlize Theron,Keanu Reeves Al Pacino Charlize Theron Taylor Hackford Drama Mystery Thriller
828,Sean Anders,Leighton Meester,Comedy,Adam Sandler,that's my boy,Will Forte,Adam Sandler Leighton Meester Will Forte Sean Anders Comedy
829,Rob Cohen,Brian Thompson,Action Adventure Fantasy,Dennis Quaid,dragonheart,Terry O'Neill,Dennis Quaid Brian Thompson Terry O'Neill Rob Cohen Action Adventure Fantasy
830,Brett Ratner,Don Cheadle,Action Comedy Crime Drama,Salma Hayek,after the sunset,Chris Penn,Salma Hayek Don Cheadle Chris Penn Brett Ratner Action Comedy Crime Drama
831,Mark Neveldine,Spencer Wilding,Action Fantasy Thriller,Nicolas Cage,ghost rider: spirit of vengeance,Christopher Lambert,Nicolas Cage Spencer Wilding Christopher Lambert Mark Neveldine Action Fantasy Thriller
832,John Madden,Irene Papas,Drama Music Romance War,Christian Bale,captain corelli's mandolin,Mihalis Giannatos,Christian Bale Irene Papas Mihalis Giannatos John Madden Drama Music Romance War
833,,Noureen DeWulf,Comedy Romance,Barry Corbin,anger management            ,Brian Austin Green,Barry Corbin Noureen DeWulf Brian Austin Green  Comedy Romance
834,Adam Shankman,Brad Garrett,Action Comedy Drama Family Thriller,Vin Diesel,the pacifier,Tate Donovan,Vin Diesel Brad Garrett Tate Donovan Adam Shankman Action Comedy Drama Family Thriller
835,Kevin Bray,Ashley Scott,Action Crime,Dwayne Johnson,walking tall,Michael Bowen,Dwayne Johnson Ashley Scott Michael Bowen Kevin Bray Action Crime
